ticket_id,created_at,question,alf_answer,resolved,agent_answer
T-1001,2026-06-01,"주문한 상품 언제 도착하나요?","결제 완료 후 평균 2~3일(영업일) 내 도착합니다. 마이페이지 > 주문조회에서 배송 현황을 확인하실 수 있어요.",true,
T-1002,2026-06-01,"배송이 며칠 걸리는지 궁금해요","결제 완료 후 평균 2~3일(영업일) 내 도착합니다.",true,
T-1003,2026-06-01,"반품하고 싶은데 어떻게 하나요?","마이페이지 > 주문조회 > 반품신청에서 접수하실 수 있습니다. 수령 후 7일 이내 가능해요.",true,
T-1004,2026-06-02,"사이즈가 안 맞아서 교환하고 싶어요","마이페이지 > 주문조회 > 교환신청에서 접수해 주세요. 동일 상품 다른 사이즈로 교환 가능합니다.",true,
T-1005,2026-06-02,"주문 취소는 어디서 하나요?","발송 전 상태라면 마이페이지 > 주문조회에서 즉시 취소 가능합니다.",true,
T-1006,2026-06-02,"운송장 번호 조회하고 싶어요","마이페이지 > 주문조회에서 운송장 번호와 배송 현황을 확인하실 수 있습니다.",true,
T-1007,2026-06-03,"무통장 입금도 되나요?","네, 신용카드·무통장입금·간편결제(카카오페이/네이버페이)를 지원합니다.",true,
T-1008,2026-06-03,"쿠폰은 어떻게 사용하나요?","결제 단계의 쿠폰 적용란에서 보유 쿠폰을 선택하시면 됩니다.",true,
T-1009,2026-06-03,"포인트 적립은 얼마나 되나요?","구매 확정 시 결제 금액의 1%가 적립됩니다.",true,
T-1010,2026-06-04,"교환 배송비는 얼마인가요?","단순 변심 교환은 왕복 6,000원, 상품 불량은 무료입니다.",true,
T-1011,2026-06-04,"반품 신청했는데 언제 수거해 가나요?","반품 접수 후 1~2일 내 지정 택배사가 방문 수거합니다.",true,
T-1012,2026-06-04,"세일은 언제까지 하나요?","이번 시즌오프 세일은 6월 30일까지 진행됩니다.",true,
T-1013,2026-06-05,"회원가입하면 뭐가 좋아요?","신규 가입 시 10% 웰컴 쿠폰과 무료배송 쿠폰을 드립니다.",true,
T-1014,2026-06-05,"배송지 변경할 수 있나요?","발송 전이라면 마이페이지 > 주문조회에서 배송지를 변경하실 수 있습니다.",true,
T-1015,2026-06-05,"주문 취소하면 환불은 언제 되나요?","카드 결제는 취소 후 3~5영업일 내 승인 취소됩니다.",true,
T-1016,2026-06-08,"오늘 주문하면 언제 출발해요?","오후 2시 이전 결제 건은 당일 출고됩니다.",true,
T-1017,2026-06-08,"반품 배송비는 누가 내나요?","단순 변심은 고객 부담(3,000원), 상품 하자는 판매자 부담입니다.",true,
T-1018,2026-06-08,"교환 신청 후 새 상품은 언제 오나요?","회수 확인 후 1~2일 내 새 상품이 출고됩니다.",true,
T-1019,2026-06-09,"카카오페이로 결제되나요?","네, 카카오페이·네이버페이 간편결제를 지원합니다.",true,
T-1020,2026-06-09,"적립금은 언제부터 쓸 수 있어요?","구매 확정 후 즉시 사용 가능하며 1,000점 이상부터 사용됩니다.",true,
T-1021,2026-06-09,"배송 조회가 안 돼요","운송장 등록 직후에는 조회까지 최대 12시간 걸릴 수 있습니다. 마이페이지 > 주문조회에서 다시 확인해 주세요.",true,
T-1022,2026-06-10,"반품 가능 기간이 언제까지예요?","상품 수령 후 7일 이내 반품 신청이 가능합니다.",true,
T-1023,2026-06-10,"입금 확인은 얼마나 걸리나요?","무통장입금은 입금 후 10분 내 자동 확인됩니다.",true,
T-1024,2026-06-10,"쿠폰 여러 장 같이 쓸 수 있나요?","쿠폰은 주문당 1장만 적용 가능합니다.",true,
T-1025,2026-06-11,"품절 상품 재입고 되나요?","상품 페이지의 재입고 알림을 신청하시면 입고 시 알려드립니다.",true,
T-1026,2026-06-11,"주문을 합쳐서 배송받을 수 있나요?","같은 날 같은 배송지 주문은 자동 합배송 처리됩니다.",true,
T-1027,2026-06-11,"영업시간이 어떻게 되나요?","고객센터는 평일 10시~18시(점심 12~13시 제외) 운영됩니다.",true,
T-1028,2026-06-12,"비회원도 주문할 수 있나요?","네, 비회원 주문이 가능하며 주문번호로 조회하실 수 있습니다.",true,
T-1029,2026-06-12,"배송 전인데 옵션을 바꿀 수 있나요?","발송 전이라면 주문 취소 후 재주문 또는 고객센터를 통한 옵션 변경이 가능합니다.",true,
T-1030,2026-06-12,"반품 접수했는데 진행 상황 알려주세요","마이페이지 > 주문조회 > 반품내역에서 실시간 진행 상태를 확인하실 수 있습니다.",true,
T-1031,2026-06-15,"포인트로 전액 결제 가능한가요?","네, 보유 적립금이 결제 금액 이상이면 전액 적립금 결제가 가능합니다.",true,
T-1032,2026-06-15,"교환이랑 반품 중 뭐가 빨라요?","보통 반품 후 재주문이 교환보다 1~2일 빠릅니다.",true,
T-1033,2026-06-15,"세일 상품도 반품 되나요?","네, 세일 상품도 수령 후 7일 이내 반품 가능합니다.",true,
T-1034,2026-06-02,"산 원피스 세탁 어떻게 하나요? 라벨이 잘렸어요","죄송합니다. 문의하신 내용에 대한 답변을 찾지 못했습니다. 상담사를 연결해 드릴게요.",false,"해당 원피스는 레이온 혼방 소재라 울코스 30도 이하 단독 세탁 부탁드립니다. 건조기는 사용하지 마세요."
T-1035,2026-06-03,"니트에 보풀이 생겼는데 관리법이 있나요?","죄송합니다. 답변을 찾지 못했습니다. 상담사를 연결해 드릴게요.",false,"보풀은 보풀제거기로 결 방향대로 살살 제거해 주시고, 세탁망 사용과 뒤집어 세탁을 권장드립니다."
T-1036,2026-06-05,"가죽 자켓 여름에 어떻게 보관하나요?","죄송합니다. 답변을 찾지 못했습니다.",false,"직사광선을 피해 통풍되는 곳에 부직포 커버로 보관해 주세요. 비닐 커버는 곰팡이 위험이 있습니다."
T-1037,2026-06-09,"흰 티에 파운데이션 묻었는데 지워지나요?","죄송합니다. 답변을 찾지 못했습니다.",false,"미온수에 중성세제를 풀어 두드리듯 애벌빨래 후 세탁해 주세요. 표백제는 프린트 손상 위험이 있어요."
T-1038,2026-06-10,"청바지 물빠짐 심한데 원래 그런가요?","죄송합니다. 답변을 찾지 못했습니다.",false,"진청 데님 특성상 초기 2~3회는 이염될 수 있습니다. 첫 세탁은 단독 찬물 세탁을 권장드립니다."
T-1039,2026-06-11,"코트 집에서 세탁해도 되나요?","죄송합니다. 답변을 찾지 못했습니다.",false,"울 코트는 드라이클리닝 전용입니다. 물세탁 시 수축될 수 있어요."
T-1040,2026-06-15,"운동화 세척은 어떻게 하는 게 좋아요?","죄송합니다. 답변을 찾지 못했습니다.",false,"중성세제와 부드러운 솔로 손세탁 후 그늘 건조해 주세요. 세탁기 사용은 변형 위험이 있습니다."
T-1041,2026-06-16,"니트 건조기 돌려도 되나요?","죄송합니다. 답변을 찾지 못했습니다.",false,"니트류는 건조기 사용 시 수축됩니다. 눕혀서 자연 건조해 주세요."
T-1042,2026-06-17,"실크 블라우스 다림질 온도 몇 도로 해야 하나요?","죄송합니다. 답변을 찾지 못했습니다.",false,"실크는 저온(110도 이하)에서 덧천을 대고 다려 주세요. 스팀은 얼룩 위험이 있습니다."
T-1043,2026-06-03,"첫구매 쿠폰이 적용이 안 돼요","쿠폰함에서 보유 쿠폰을 확인해 주세요. 결제 단계에서 적용하실 수 있습니다.",false,"확인해 보니 세일 상품은 쿠폰 중복 적용 제외 대상이라 적용되지 않았습니다. 정상가 상품에는 사용 가능해요."
T-1044,2026-06-04,"10% 쿠폰 있는데 세일 상품에는 왜 안 되나요?","쿠폰은 결제 단계에서 적용하실 수 있습니다.",false,"세일가 상품은 쿠폰 적용 제외입니다. 상품 상세페이지에 '쿠폰 적용 불가' 표기를 확인해 주세요."
T-1045,2026-06-08,"장바구니에서 쿠폰이 회색으로 비활성화돼 있어요","쿠폰함에서 유효기간을 확인해 주세요.",false,"해당 쿠폰은 최소 주문금액 5만원 이상 조건이 있어 현재 주문(4만2천원)에는 적용되지 않습니다."
T-1046,2026-06-10,"등급 할인이랑 쿠폰 같이 쓸 수 있나요?","쿠폰은 주문당 1장만 적용 가능합니다.",false,"회원 등급 할인과 쿠폰은 중복 적용되지 않으며, 더 큰 할인 하나만 자동 적용됩니다."
T-1047,2026-06-12,"생일 쿠폰 받았는데 왜 적용이 안 되죠?","쿠폰함에서 보유 쿠폰과 유효기간을 확인해 주세요.",false,"생일 쿠폰은 3만원 이상 구매 시 사용 가능합니다. 현재 장바구니 금액이 조건 미달이에요."
T-1048,2026-06-16,"어제까지였던 쿠폰 기간 지났는데 다시 받을 수 있나요?","죄송합니다. 답변을 찾지 못했습니다.",false,"기간 만료 쿠폰은 원칙적으로 재발급이 어렵습니다. 다만 진행 중인 프로모션 쿠폰을 안내드릴게요."
T-1049,2026-06-17,"앱에서 받은 쿠폰 PC에서도 쓸 수 있어요?","죄송합니다. 답변을 찾지 못했습니다.",false,"앱 전용 쿠폰은 앱 결제에서만 적용됩니다. PC에서는 사용하실 수 없어요."
T-1050,2026-06-04,"해외 배송도 되나요?","죄송합니다. 답변을 찾지 못했습니다.",false,"현재 일본 배송만 지원합니다. EMS 기준 배송비 15,000원, 5~7일 소요됩니다."
T-1051,2026-06-09,"미국으로 보내려면 배송비 얼마예요?","죄송합니다. 답변을 찾지 못했습니다.",false,"죄송하지만 현재 미국 배송은 지원하지 않습니다. 일본 외 지역은 배송대행지를 이용하셔야 합니다."
T-1052,2026-06-15,"해외 주문 반품은 어떻게 하나요?","죄송합니다. 답변을 찾지 못했습니다.",false,"해외 배송 건은 국내 회수가 불가해 왕복 배송비 고객 부담으로 국제우편 반송 접수를 도와드립니다."
T-1053,2026-06-16,"일본 배송 관세 붙나요?","죄송합니다. 답변을 찾지 못했습니다.",false,"16,666엔 이하 주문은 일반적으로 면세이며, 초과 시 수취인에게 관세가 부과될 수 있습니다."
T-1054,2026-06-05,"환불 계좌를 바꾸고 싶어요","고객센터로 문의해 주세요.",false,"본인 인증 후 환불 계좌 변경 처리해 드렸습니다."
T-1055,2026-06-10,"가상계좌로 입금했는데 환불은 어디로 되나요?","고객센터로 문의해 주세요.",false,"가상계좌 결제 건은 등록하신 환불 계좌로 입금됩니다. 계좌 미등록 시 마이페이지에서 등록 부탁드립니다."
T-1056,2026-06-12,"환불을 다른 사람 계좌로 받을 수 있나요?","고객센터로 문의해 주세요.",false,"원칙적으로 주문자 본인 명의 계좌로만 환불 가능합니다. 본인 인증 후 예외 상담을 도와드렸습니다."
